title.Tournament,title.DateTime UTC,title.Team1,title.Team2,title.Winner,title.DateTime UTC__precision
LPL 2020 Summer,2020-07-21 13:08:00,Vici Gaming,EDward Gaming,2,0
LTL 2020 Season,2020-07-21 02:40:00,OG Esports,Another Troll Team,1,0
LTL 2020 Season,2020-07-21 03:10:00,Another Troll Team,OG Esports,2,0
NLC 2020 Summer,2020-07-21 16:38:00,Barrage (British Team),Tricked Esport,2,0
NLC 2020 Summer,2020-07-21 17:50:00,Munster Rugby Gaming,Fnatic Rising,2,0
NLC 2020 Summer,2020-07-21 18:54:00,ENCE,Team Singularity,1,0
NLC 2020 Summer,2020-07-21 20:03:00,BT Excel,Nordavind,1,0
PG Nationals 2020 Summer Playoffs,2020-07-21 15:35:00,Mkers,Samsung Morning Stars,2,0
PG Nationals 2020 Summer Playoffs,2020-07-21 16:37:00,Mkers,Samsung Morning Stars,1,0
PG Nationals 2020 Summer Playoffs,2020-07-21 17:29:00,Samsung Morning Stars,Mkers,1,0
PG Nationals 2020 Summer Playoffs,2020-07-21 18:22:00,Samsung Morning Stars,Mkers,1,0
PRM Pro Division 2020 Summer,2020-07-21 15:08:00,OP innogy eSport,EURONICS Gaming,2,0
PRM Pro Division 2020 Summer,2020-07-21 16:41:00,GamerLegion,Berlin International Gaming,1,0
PRM Pro Division 2020 Summer,2020-07-21 17:43:00,mYinsanity,ad hoc gaming,1,0
PRM Pro Division 2020 Summer,2020-07-21 18:52:00,FC Schalke 04 Evolution,SK Gaming Prime,1,0
PRM Pro Division 2020 Summer,2020-07-21 19:48:00,Unicorns Of Love Sexy Edition,mousesports,1,0
Ultraliga Season 4,2020-07-21 14:33:00,Gentlemen's Gaming,7more7 Pompa Team,2,0
Ultraliga Season 4,2020-07-21 15:24:00,PRIDE (Polish Team),piratesports,2,0
Ultraliga Season 4,2020-07-21 16:32:00,Komputronik H34T,Illuminar Gaming,1,0
Ultraliga Season 4,2020-07-21 17:51:00,AGO ROGUE,K1ck Neosurf,2,0
UPL 2020 Summer Playoffs,2020-07-21 23:44:00,100 Thieves Next,Radiance,1,0
Belgian League 2020 Summer,2020-07-20 16:28:00,Brussels Guardians,KV Mechelen Esports,2,0
Belgian League 2020 Summer,2020-07-20 17:00:00,Team 7AM,Aethra Esports,2,0
Belgian League 2020 Summer,2020-07-20 17:48:00,RSC Anderlecht Esports,Sector One,2,0
BRCC 2020 Split 2,2020-07-20 23:41:00,Redemption eSports Porto Alegre,Havan Liberty Gaming,2,0
CK 2020 Summer,2020-07-20 07:47:00,hyFresh Blade,Awesome Spear,2,0
CK 2020 Summer,2020-07-20 08:54:00,Awesome Spear,hyFresh Blade,1,0
CK 2020 Summer,2020-07-20 09:45:00,ESC Shane,Element Mystic,1,0
CK 2020 Summer,2020-07-20 11:15:00,Element Mystic,ESC Shane,2,0
EBL Season 7,2020-07-20 16:39:00,Crvena zvezda Esports,CR4ZY,2,0
EBL Season 7,2020-07-20 17:41:00,SuppUp eSports,Howling eSports,1,0
EBL Season 7,2020-07-20 18:33:00,Zero Tenacity,Nexus Gaming (Romanian Team),1,0
EBL Season 7,2020-07-20 19:35:00,Split Raiders,ASUS ROG ELITE,1,0
GL 2020 Closing,2020-07-20 23:43:00,Spirituals,Hunters Esports,1,0
GLL 2020 Summer Playoffs,2020-07-20 15:09:00,WLGaming Esports,Game Changers,2,0
GLL 2020 Summer Playoffs,2020-07-20 16:25:00,WLGaming Esports,Game Changers,1,0
GLL 2020 Summer Playoffs,2020-07-20 17:47:00,WLGaming Esports,Game Changers,1,0
GLL 2020 Summer Playoffs,2020-07-20 18:25:00,WLGaming Esports,Game Changers,1,0
LDL 2020 Summer,2020-07-20 05:14:00,LNG Academy,JingNetGame,2,0
LDL 2020 Summer,2020-07-20 06:22:00,JingNetGame,LNG Academy,2,0
LDL 2020 Summer,2020-07-20 07:07:00,WanZhen Esports Club,Suning-S,2,0
LDL 2020 Summer,2020-07-20 07:18:00,JingNetGame,LNG Academy,2,0
LDL 2020 Summer,2020-07-20 08:06:00,Suning-S,WanZhen Esports Club,1,0
LDL 2020 Summer,2020-07-20 09:09:00,Vici Gaming Potential,Shu Dai Xiong Gaming,2,0
LDL 2020 Summer,2020-07-20 09:21:00,LGD Gaming Young Team,EDward Gaming Youth Team,2,0
LDL 2020 Summer,2020-07-20 09:58:00,Shu Dai Xiong Gaming,Vici Gaming Potential,2,0
LDL 2020 Summer,2020-07-20 10:22:00,LGD Gaming Young Team,EDward Gaming Youth Team,1,0
LDL 2020 Summer,2020-07-20 10:56:00,Shu Dai Xiong Gaming,Vici Gaming Potential,2,0
LDL 2020 Summer,2020-07-20 11:27:00,LGD Gaming Young Team,EDward Gaming Youth Team,1,0
LDL 2020 Summer,2020-07-20 12:39:00,FunPlus Phoenix Blaze,All Combo,1,0
LDL 2020 Summer,2020-07-20 13:34:00,All Combo,FunPlus Phoenix Blaze,2,0
LHE 2020 Closing,2020-07-20 21:31:00,Furious Gaming Chile,Rebirth eSports,2,0
LHE 2020 Closing,2020-07-20 22:55:00,Liga del Mal,Universidad Católica Esports,1,0
LHE 2020 Closing,2020-07-20 23:54:00,ODIN Gaming,Dark Horse,2,0
LPL 2020 Summer,2020-07-20 09:18:00,Team WE,LGD Gaming,2,0
